seed,fold_number,elbo,accuracy,log_prob
25,7,-43462.4946926235,0.7142857142857142,-7.190791298245393
20,9,-43216.71736433375,0.8571428571428571,-5.340183663445426
30,9,-43079.13693484612,0.7142857142857142,-9.808898639585946
25,8,-43257.67415073019,0.5714285714285714,-6.012831687209356
21,0,-43326.98854788189,0.8571428571428571,-5.828256222963625
31,0,-43213.40807942272,0.7142857142857142,-7.077716625700909
25,9,-42822.61413113365,0.7142857142857142,-5.578970776737319
21,1,-43017.92662342644,0.5714285714285714,-9.933518591796602
31,1,-43151.86929813575,0.2857142857142857,-12.287296224001302
26,0,-43287.53863112751,0.8571428571428571,-4.637499910301771
21,2,-43168.378360003815,0.5714285714285714,-6.069971266900865
31,2,-43184.22077196074,0.7142857142857142,-5.958240560819485
26,1,-42982.402289131016,0.4285714285714285,-13.533151095844778
21,3,-43612.46277560643,0.8571428571428571,-3.7825634593075934
31,3,-43440.67151829298,0.7142857142857142,-9.896774810839691
26,2,-42964.59395811963,0.7142857142857142,-7.0914814014529775
21,4,-43613.691678718256,0.8571428571428571,-3.894631076092334
31,4,-43491.64634218003,0.8571428571428571,-3.986097654569605
26,3,-43537.179565256,0.8571428571428571,-1.957910501276919
21,5,-43171.831443610135,0.8571428571428571,-4.0800481387643135
31,5,-43419.77413974592,0.8571428571428571,-3.0495689709869698
26,4,-43575.11098906584,0.5714285714285714,-9.98739693963425
21,6,-43256.46676333202,0.5714285714285714,-7.896238909690069
31,6,-43339.61751068989,0.8571428571428571,-4.243749330371781
21,7,-43511.88183718774,0.5714285714285714,-8.548144204453447
26,5,-43383.80831245496,0.8571428571428571,-3.4259233619827247
31,7,-43598.66897436313,0.7142857142857142,-9.11723332140905
21,8,-43043.03515354014,0.5714285714285714,-4.602166797638733
26,6,-43364.59857856203,0.5714285714285714,-11.522053132236104
31,8,-43172.55108959647,0.7142857142857142,-4.327054329931909
21,9,-43042.04945965053,0.5714285714285714,-8.876776192234894
26,7,-43418.637629835226,0.5714285714285714,-10.339612948822056
31,9,-43207.899440190464,0.8571428571428571,-5.299198112822526
22,0,-43218.74103548442,0.7142857142857142,-9.328946835337716
26,8,-43292.42558587116,0.7142857142857142,-5.059160589829496
32,0,-42972.64557409409,1.0,-0.5034663310284397
22,1,-43335.66027792805,0.4285714285714285,-12.98873018197084
26,9,-43239.02766592696,0.7142857142857142,-8.763884733431823
32,1,-43213.11403138179,0.4285714285714285,-9.73825479156147
22,2,-43083.1202194817,0.7142857142857142,-5.556901125198482
27,0,-43229.11608038342,0.8571428571428571,-4.05158600805785
32,2,-43258.20345431991,0.7142857142857142,-6.107385050326595
22,3,-43620.15040417446,0.8571428571428571,-5.767723681797846
